lon,lat,alt,VBKDE,ZOI
103.741699,30.303459,4425.0,5.046536266095245,0
103.74691,30.30217,4425.0,4.865216276152529,0
103.752457,30.300842,4425.0,4.5922038978703075,0
103.763565,30.298199,4425.0,4.252290552031042,0
103.774216,30.295637,4425.0,4.490945252426411,0
103.779228,30.2948,4425.0,4.684126013028329,0
103.785416,30.294754,4425.0,4.7722771772544545,0
103.79113,30.29567,4375.0,4.709058084094986,0
103.796738,30.297733,4325.0,4.877521476351649,0
103.80098,30.30011,4275.0,5.063544271393976,0
103.805939,30.303452,4225.0,4.892520519562473,0
103.809868,30.306335,4175.0,4.1981705566719105,0
103.814262,30.309696,4125.0,3.697729146981681,0
103.818108,30.312698,4075.0,3.548294407068625,0
103.822578,30.316177,4025.0,3.30549915672983,0
103.830605,30.322449,3925.0,2.350321625372333,0
