lon,lat,alt,ZOI_DBSCAN
104.581001,31.355633,13825.0,0
104.529312,31.32811,13800.0,0
104.475456,31.29982,13800.0,0
104.416969,31.269012,13800.0,0
104.343475,31.230173,13800.0,0
104.292671,31.203461,13800.0,0
104.235367,31.17296,13800.0,0
104.186203,31.146881,13800.0,0
104.135391,31.119892,13800.0,0
104.077904,31.089111,13775.0,0
104.063271,31.077995,13775.0,0
104.057175,31.071478,13775.0,0
104.052338,31.064589,13775.0,0
104.048935,31.058163,13800.0,0
104.045029,31.050203,13825.0,0
104.041679,31.043127,13825.0,0
104.038322,31.036011,13825.0,0
104.034981,31.029068,13825.0,0
104.016022,30.989639,13800.0,0
103.996635,30.948765,13475.0,0
103.975037,30.903351,12700.0,0
103.956947,30.865128,12100.0,0
103.936157,30.820841,11375.0,0
103.927597,30.802505,11075.0,0
103.918961,30.784063,10775.0,0
103.910469,30.765564,10450.0,0
103.901382,30.746683,10125.0,0
103.892708,30.728481,9825.0,0
103.883972,30.709394,9500.0,0
103.875183,30.690353,9200.0,0
103.866631,30.672043,8900.0,0
103.857849,30.653091,8625.0,0
103.848969,30.63446,8525.0,0
103.840401,30.616608,8375.0,0
103.831787,30.598274,7875.0,0
103.82312,30.579163,7300.0,0
103.814285,30.559891,6900.0,0
103.805664,30.541809,6625.0,0
103.797104,30.523315,6350.0,0
103.788834,30.505356,5900.0,0
103.780479,30.487293,5525.0,0
103.772186,30.469463,5175.0,0
103.763931,30.451904,4800.0,0
103.758705,30.440598,4650.0,0
103.75351,30.429195,4575.0,0
103.748528,30.418167,4525.0,0
103.743729,30.407455,4525.0,0
103.741798,30.401688,4525.0,0
103.74115,30.396149,4525.0,0
103.741806,30.39093,4525.0,0
103.743408,30.386307,4525.0,0
103.746475,30.381527,4525.0,0
103.750656,30.37743,4525.0,0
103.755043,30.374176,4550.0,0
103.759827,30.370958,4550.0,0
103.764793,30.367722,4525.0,0
103.769386,30.364676,4525.0,0
103.774162,30.361555,4500.0,0
103.782455,30.356094,4525.0,0
103.79174,30.349918,4525.0,0
103.800339,30.344238,4450.0,1
103.804817,30.34177,4375.0,1
103.810516,30.339798,4275.0,1
103.815735,30.339111,4150.0,1
103.820961,30.339432,4050.0,1
103.826843,30.341072,3925.0,1
103.831566,30.343493,3850.0,1
103.83596,30.346519,3775.0,1
103.84008,30.349686,3675.0,1
103.8442,30.352989,3625.0,1
103.847672,30.355865,3575.0,1
103.851982,30.359482,3575.0,1
103.859909,30.366165,3550.0,1
103.86348,30.369656,3550.0,1
103.86689,30.374031,3525.0,1
103.869431,30.378021,3525.0,1
103.871941,30.382412,3525.0,1
103.874252,30.3866,3525.0,1
103.876884,30.391676,3525.0,1
103.879028,30.395958,3525.0,1
103.881279,30.400635,3525.0,1
103.885452,30.409271,3525.0,1
103.888916,30.416719,3500.0,1
103.893501,30.42659,3325.0,1
103.897385,30.434967,3150.0,1
103.901047,30.442703,3000.0,1
103.904404,30.449959,2800.0,1
103.907562,30.456848,2675.0,1
103.910339,30.4629,2575.0,1
103.913635,30.469835,2425.0,1
103.916176,30.475296,2300.0,1
103.919357,30.482254,2150.0,1
103.922318,30.488596,2000.0,1
103.925064,30.494555,1900.0,1
103.926842,30.498367,1800.0,1
103.934647,30.51512,1450.0,1
125.539589,43.906158,5850.0,0
125.466164,43.859982,8400.0,1
125.38546,43.80901,11175.0,1
125.279449,43.78471,12375.0,1
125.154877,43.77763,14550.0,1
125.024986,43.770355,16700.0,1
124.891815,43.762665,18600.0,1
124.754791,43.754589,19725.0,0
