lon,lat,alt,KDE,ZOI
103.713631,30.317005,4725.0,0.0028534798633667894,0
103.716805,30.313431,4625.0,0.0021999983847992596,0
103.721062,30.310318,4525.0,0.0033125614560448545,0
103.725937,30.308022,4475.0,0.004633474708236771,0
103.730865,30.306381,4450.0,0.005247909178277141,0
103.736465,30.304825,4425.0,0.01456426317621796,0
103.741699,30.303459,4425.0,0.038570825187227126,0
103.74691,30.30217,4425.0,0.06261188770828471,0
103.752457,30.300842,4425.0,0.05656251982847167,0
103.763565,30.298199,4425.0,0.0742149570246483,0
103.774216,30.295637,4425.0,0.7699177566183394,1
103.779228,30.2948,4425.0,0.9647281885923347,1
103.785416,30.294754,4425.0,1.0303828422236077,1
103.79113,30.29567,4375.0,0.8527002356282837,1
103.796738,30.297733,4325.0,0.8786308514868644,1
103.80098,30.30011,4275.0,1.3521720984922059,1
